Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA4733,acsB,(RefSeq) acetyl-CoA synthetase,Q9HV66,acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; acetyl-CoA biosynthetic process from acetate [GO:0019427],NA,NA,NA,"Glycolysis / Gluconeogenesis, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Methane metabolism, Metabolic pathways, Carbon metabolism, Microbial metabolism in diverse environments, Biosynthesis of secondary metabolites"
PA4734,NA,NA,Q9HV65,oxidoreductase activity [GO:0016491],NA,NA,NA,NA
PA4735,NA,NA,Q9HV64,plasma membrane [GO:0005886]; regulation of protein targeting to membrane [GO:0090313],NA,COG2885,,NA
PA4736,NA,NA,Q9HV63,NA,NA,NA,NA,NA
PA4738,NA,NA,Q9HV61,NA,NA,NA,NA,NA
PA4739,NA,NA,Q9HV60,outer membrane-bounded periplasmic space [GO:0030288]; response to osmotic stress [GO:0006970],NA,COG2823,,NA
PA4740,pnp,(RefSeq) polynucleotide phosphorylase,Q9HV59,cytosol [GO:0005829]; 3'-5'-exoribonuclease activity [GO:0000175]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]; RNA catabolic process [GO:0006401]; RNA processing [GO:0006396],NA,COG1185,,RNA degradation
PA4741,rpsO,(RefSeq) 30S ribosomal protein S15,Q9HV58,cytosolic small ribosomal subunit [GO:0022627]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],NA,NA,NA,Ribosome
PA4742,NA,NA,P72154,pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]; mRNA pseudouridine synthesis [GO:1990481]; tRNA modification [GO:0006400]; tRNA pseudouridine synthesis [GO:0031119],NA,NA,NA,NA
PA4743,NA,NA,Q9HV56,cytosol [GO:0005829]; ribosomal small subunit binding [GO:0043024]; maturation of SSU-rRNA [GO:0030490]; ribosome biogenesis [GO:0042254],NA,COG0858,,NA
PA4744,NA,NA,Q9HV55,cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]; translational initiation [GO:0006413],NA,COG0532,Translation factors,NA
PA4745,NA,NA,Q9HV54,"cytosol [GO:0005829]; DNA-binding transcription factor activity [GO:0003700]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; transcription antitermination [GO:0031564]",NA,NA,NA,NA
PA4746,NA,NA,Q9HV53,cytosol [GO:0005829]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412],NA,COG0779,,NA
PA4746.1,,(RefSeq) tRNA-Met,NA,NA,NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA4746.2,,(RefSeq) tRNA-Leu,NA,NA,NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA4747,secG,(RefSeq) preprotein translocase subunit SecG,Q9HV52,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein-transporting ATPase activity [GO:0015450]; intracellular protein transmembrane transport [GO:0065002]; protein secretion [GO:0009306]; protein transport by the Sec complex [GO:0043952],NA,NA,NA,"Quorum sensing, Protein export, Bacterial secretion system"
PA4748,tpiA,(RefSeq) triosephosphate isomerase,Q9HV51,cytosol [GO:0005829]; triose-phosphate isomerase activity [GO:0004807]; gluconeogenesis [GO:0006094]; glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]; glycerol catabolic process [GO:0019563]; glycolytic process [GO:0006096],NA,NA,NA,"Metabolic pathways, Biosynthesis of amino acids, Inositol phosphate metabolism, Carbon metabolism, Fructose and mannose metabolism, Biosynthesis of secondary metabolites, Glycolysis / Gluconeogenesis, Microbial metabolism in diverse environments"
PA4749,glmM,(RefSeq) phosphoglucosamine mutase,Q9HV50,cytosol [GO:0005829]; magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; phosphoglucosamine mutase activity [GO:0008966]; phosphomannomutase activity [GO:0004615]; carbohydrate metabolic process [GO:0005975]; peptidoglycan biosynthetic process [GO:0009252]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048],NA,COG1109,,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of nucleotide sugars"
PA4750,folP,(RefSeq) dihydropteroate synthase,Q9HV49,cytosol [GO:0005829]; dihydropteroate synthase activity [GO:0004156]; metal ion binding [GO:0046872]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654],NA,COG0294,Folate biosynthesis,"Folate biosynthesis, Metabolic pathways, Biosynthesis of cofactors"
PA4751,NA,NA,Q9HV48,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; cell division [GO:0051301]; cellular response to antibiotic [GO:0071236]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508],NA,COG0465,,NA
PA4752,NA,NA,P95454,cytoplasm [GO:0005737]; RNA methyltransferase activity [GO:0008173]; rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650]; RNA methylation [GO:0001510],NA,NA,NA,NA
PA4753,NA,NA,P95453,RNA binding [GO:0003723],NA,NA,NA,NA
PA4754,NA,NA,Q9HV47,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA4755,NA,NA,Q9HV46,"DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063]; DNA-templated transcription, elongation [GO:0006354]; regulation of DNA-templated transcription, elongation [GO:0032784]",NA,COG0782,,NA
PA4756,carB,(RefSeq) carbamoyl phosphate synthase large subunit,P38100,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; cellular response to amino acid stimulus [GO:0071230]; glutamate metabolic process [GO:0006536]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807],NA,COG0458,Arginine biosynthesis,"Metabolic pathways, Metabolic pathways, Alanine, aspartate and glutamate metabolism, Alanine, aspartate and glutamate metabolism, Pyrimidine metabolism, Pyrimidine metabolism, Biosynthesis of cofactors, Biosynthesis of cofactors"
PA4757,NA,NA,P38102,integral component of plasma membrane [GO:0005887]; amino acid transmembrane transporter activity [GO:0015171]; L-leucine transmembrane transporter activity [GO:0015190]; amino acid transport [GO:0006865]; leucine transport [GO:0015820],NA,COG1280,,NA
PA4758,carA,(RefSeq) carbamoyl phosphate synthase small subunit,P38098,carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; cellular response to amino acid stimulus [GO:0071230]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807],NA,COG0505,Arginine biosynthesis,"Alanine, aspartate and glutamate metabolism, Metabolic pathways, Pyrimidine metabolism, Biosynthesis of cofactors"
PA4759,dapB,(RefSeq) 4-hydroxy-tetrahydrodipicolinate reductase,P38103,"cytosol [GO:0005829]; 4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]",NA,NA,NA,"Monobactam biosynthesis, Microbial metabolism in diverse environments, Biosynthesis of secondary metabolites, Biosynthesis of amino acids, Metabolic pathways, Lysine biosynthesis"
PA4760,NA,NA,Q9HV44,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; heat shock protein binding [GO:0031072]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]; protein refolding [GO:0042026]; response to heat [GO:0009408],NA,COG0484,,NA
PA4761,dnaK,(RefSeq) molecular chaperone DnaK,Q9HV43,cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; unfolded protein binding [GO:0051082]; bacterial-type flagellum-dependent swimming motility [GO:0071977]; biological process involved in interaction with host [GO:0051701]; protein folding [GO:0006457]; protein secretion by the type III secretion system [GO:0030254]; type IV pilus-dependent motility [GO:0043107],NA,COG0443,,RNA degradation
PA4762,NA,NA,Q9HV42,cytosol [GO:0005829]; adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],NA,COG0576,,NA
PA4763,NA,NA,Q9HV41,ATP binding [GO:0005524]; double-strand break repair via homologous recombination [GO:0000724]; response to radiation [GO:0009314]; SOS response [GO:0009432],NA,COG0497,,NA
PA4764,NA,NA,Q03456,"cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; ferrous iron binding [GO:0008198]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]; negative regulation of lyase activity [GO:0051350]; negative regulation of siderophore biosynthetic process [GO:1900705]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of peroxidase activity [GO:2000470]; regulation of secondary metabolite biosynthetic process [GO:1900376]; regulation of superoxide dismutase activity [GO:1901668]; siderophore biosynthetic process [GO:0019290]",NA,NA,NA,NA
PA4765,NA,NA,O68562,Bam protein complex [GO:1990063]; protein-macromolecule adaptor activity [GO:0030674]; Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; protein insertion into membrane [GO:0051205],NA,NA,NA,NA
PA4766,NA,NA,O68561,NA,NA,NA,NA,NA
PA4767,NA,NA,O68560,ribosomal large subunit binding [GO:0043023]; ubiquinone binding [GO:0048039]; cellular respiration [GO:0045333]; negative regulation of translational initiation [GO:0045947]; ubiquinone biosynthetic process [GO:0006744],NA,COG2867,,NA
PA4768,NA,NA,Q9HV40,cytosol [GO:0005829]; RNA binding [GO:0003723]; trans-translation [GO:0070929]; trans-translation-dependent protein tagging [GO:0070930],NA,COG0691,,NA
PA4769,NA,NA,Q9HV39,protein-DNA complex [GO:0032993]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565],NA,COG2186,,NA
PA4770,NA,NA,Q9HV38,integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; lactate transmembrane transporter activity [GO:0015129]; solute:proton symporter activity [GO:0015295],NA,NA,NA,NA
PA4771,lldD,(RefSeq) L-lactate dehydrogenase,Q9HV37,plasma membrane [GO:0005886]; FMN binding [GO:0010181]; L-lactate dehydrogenase activity [GO:0004459]; lactate oxidation [GO:0019516],NA,NA,NA,"Pyruvate metabolism, Metabolic pathways"
PA4772,,(RefSeq) ferredoxin,Q9HV36,D-lactate dehydrogenase (cytochrome) activity [GO:0004458]; D-lactate dehydrogenase activity [GO:0008720]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; lactate catabolic process [GO:1903457],NA,COG0277,,"Metabolic pathways, Pyruvate metabolism"
PA4773,,(RefSeq) hypothetical protein,Q9HV35,cytosol [GO:0005829]; adenosylmethionine decarboxylase activity [GO:0004014]; S-adenosylmethioninamine biosynthetic process [GO:0006557]; spermidine biosynthetic process [GO:0008295],NA,NA,NA,"Metabolic pathways, Arginine and proline metabolism, Cysteine and methionine metabolism"
PA4774,,(RefSeq) hypothetical protein,Q9HV34,cytoplasm [GO:0005737]; spermidine synthase activity [GO:0004766]; polyamine biosynthetic process [GO:0006596]; spermidine biosynthetic process [GO:0008295],NA,NA,NA,"Glutathione metabolism, Metabolic pathways, Cysteine and methionine metabolism, Arginine and proline metabolism"
PA4775,NA,NA,Q9HV33,NA,NA,NA,NA,NA
PA4776,pmrA,(RefSeq) two-component regulator system response regulator PmrA,Q9HV32,cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]; phosphorelay signal transduction system [GO:0000160],NA,NA,NA,"Quorum sensing, Two-component system"
PA4777,pmrB,(RefSeq) two-component regulator system signal sensor kinase PmrB,Q9HV31,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; phosphorelay signal transduction system [GO:0000160],NA,COG0642,,"Quorum sensing, Two-component system"
PA4778,NA,NA,Q9HV30,"cytoplasm [GO:0005737]; copper ion binding [GO:0005507]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; positive regulation of transcription, DNA-templated [GO:0045893]",NA,COG0789,,NA
PA4779,NA,NA,Q9HV29,integral component of membrane [GO:0016021],NA,COG0697,,NA
PA4780,NA,NA,Q9HV28,ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712],NA,NA,NA,NA
PA4781,NA,NA,Q9HV27,cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]; metal ion binding [GO:0046872]; phosphorelay signal transduction system [GO:0000160]; positive regulation of cell motility [GO:2000147]; regulation of single-species biofilm formation on inanimate substrate [GO:1900231],NA,NA,NA,NA
PA4782,NA,NA,Q9HV26,NA,NA,NA,NA,NA
PA4783,NA,NA,Q9HV25,integral component of membrane [GO:0016021],NA,COG0697,,NA
PA4784,NA,NA,Q9HV24,"sequence-specific DNA binding [GO:0043565]; regulation of transcription, DNA-templated [GO:0006355]",NA,NA,NA,NA
PA4785,,(RefSeq) acetyl-CoA acetyltransferase,Q9HV23,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",NA,NA,NA,"Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Terpenoid backbone biosynthesis, Tryptophan metabolism, Valine, leucine and isoleucine degradation, Lysine degradation, Metabolic pathways, Carbon metabolism, Benzoate degradation, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Two-component system, Fatty acid degradation, Fatty acid metabolism"
PA4786,,(RefSeq) 3-ketoacyl-ACP reductase,Q9HV22,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; fatty acid elongation [GO:0030497]",NA,COG1028,Fatty acid biosynthesis,"Fatty acid biosynthesis, Biosynthesis of cofactors, Biosynthesis of secondary metabolites, Metabolic pathways, Biotin metabolism, Fatty acid metabolism"
PA4787,NA,NA,Q9HV21,DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976],NA,COG2207,,NA
PA4788,NA,NA,Q9HV20,fatty acid synthase complex [GO:0005835]; fatty acid synthase activity [GO:0004312]; fatty acid biosynthetic process [GO:0006633],NA,COG2030,,NA
PA4789,NA,NA,Q9HV19,cytosol [GO:0005829]; dCTP diphosphatase activity [GO:0047840]; dCTP catabolic process [GO:0006253]; DNA protection [GO:0042262],NA,NA,NA,NA
PA4790,NA,NA,Q9HV18,tRNA 5-carboxymethoxyuridine methyltransferase activity [GO:0097697],NA,COG2227,Ubiquinone biosynthesis,NA
PA4791,NA,NA,Q9HV17,NA,NA,NA,NA,NA
PA4792,,(RefSeq) hypothetical protein,Q9HV16,phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629],NA,COG0584,,Glycerophospholipid metabolism
PA4793,NA,NA,Q9HV15,NA,NA,NA,NA,NA
PA4794,NA,NA,Q9HV14,metal ion binding [GO:0046872]; N-acetyltransferase activity [GO:0008080],NA,COG0456,,NA
PA4795,NA,NA,Q9HV13,NA,NA,COG2044,,NA
PA4796,,(RefSeq) hypothetical protein,Q9HV12,cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycine cleavage complex [GO:0005960]; glycine decarboxylation via glycine cleavage system [GO:0019464]; protein lipoylation [GO:0009249],NA,COG0509,Glycine cleavage,"Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Glycine, serine and threonine metabolism, Carbon metabolism, Biosynthesis of secondary metabolites"
PA4797,NA,NA,Q9HI37,"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]",NA,COG3547,,NA
PA4798,NA,NA,Q9HV11,NA,NA,NA,NA,NA
PA4799,NA,NA,Q9HV10,NA,NA,COG0563,Pyrimidine biosynthesis,NA
PA4800,NA,NA,Q9HV09,methyltransferase activity [GO:0008168],NA,COG2226,Biotin biosynthesis,NA
PA4801,NA,NA,Q9HV08,NA,NA,NA,NA,NA
PA4802,NA,NA,Q9HV07,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; N-carbamoylputrescine amidase activity [GO:0050126]; putrescine biosynthetic process from arginine [GO:0033388]",NA,NA,NA,NA
PA4802.1,,(RefSeq) tRNA-Sec,NA,NA,NA,NA,NA,Aminoacyl-tRNA biosynthesis
PA4803,NA,NA,Q9HV06,methyltransferase activity [GO:0008168],NA,COG2227,Ubiquinone biosynthesis,NA
PA4804,,(RefSeq) amino acid permease,Q9HV05,integral component of membrane [GO:0016021]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333],NA,COG0531,,Quorum sensing
PA4805,NA,NA,Q9HV04,4-aminobutyrate transaminase activity [GO:0003867]; adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]; biotin biosynthetic process [GO:0009102]; gamma-aminobutyric acid metabolic process [GO:0009448],NA,NA,NA,NA
PA4806,NA,NA,Q9HV03,cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976],NA,COG2197,,NA
PA4807,NA,NA,Q9HV02,cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; selenocysteine insertion sequence binding [GO:0035368]; translation elongation factor activity [GO:0003746]; selenocysteine incorporation [GO:0001514]; selenocysteine metabolic process [GO:0016259],NA,NA,NA,NA
PA4808,selA,(RefSeq) selenocysteine synthase,Q9HV01,cytoplasm [GO:0005737]; L-seryl-tRNASec selenium transferase activity [GO:0004125]; selenocysteine incorporation [GO:0001514]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056],NA,COG1921,,"Aminoacyl-tRNA biosynthesis, Metabolic pathways, Selenocompound metabolism"
PA4809,NA,NA,Q9HV00,cytosol [GO:0005829]; ferric iron binding [GO:0008199]; protein maturation [GO:0051604],NA,NA,NA,NA
PA4810,fdnI,(RefSeq) nitrate-inducible formate dehydrogenase subunit gamma,Q9HUZ9,formate dehydrogenase complex [GO:0009326]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; formate dehydrogenase (NAD+) activity [GO:0008863]; formate dehydrogenase (quinone) activity [GO:0036397]; anaerobic respiration [GO:0009061]; formate oxidation [GO:0015944]; respiratory electron transport chain [GO:0022904],NA,COG2864,,"Glyoxylate and dicarboxylate metabolism, Carbon metabolism, Methane metabolism, Microbial metabolism in diverse environments, Metabolic pathways"
